,text
Mach_1.txt,dedicatory letter niccolo machiavelli   magnificence lorenzo de medici    wish   viewed  favour   ruler usually approach   things  among  possessions    dear     things   expect will please  hence  often happens    presented  horses weapons  cloth  gold precious stones  similar ornaments   worthy   exalted position wishing   offer  magnificence  token   devotion      found among  belongings anything   hold  dear  valuable   knowledge   conduct  great men learned  long experience  modern affairs  continual study  ancient history   reflected   examined  matters  great care   summarised    small volume   proffer   magnificence   although  consider  work unworthy   presented   
Mach_10.txt,  considerable problems arise  territories  annexed   country  differs  language customs  institutions  great good luck  great ability  needed  hold  one   best   effective solutions    conqueror  go  live thered  makes  possession  secure   permanent     turks   greece     measures taken    hold  country    sufficed     instituted direct rule   one    troubles can  detected    just beginning  effective measures can  taken quickly   one    troubles  encountered    grown  nothing can  done   moreover  direct rule  country will   exploited   officials  subjects  will  content    direct access   ruler consequently  will 
Mach_100.txt, saying     fight well     therefore wanted  confront  enemy    sling  knife  short weapons  armour belonging  others fall    weigh    constrict  movements   charles vii father  king louis xi  liberated france   english   combination  good luck  prowess  recognised  need  france   defended  national troops  formed   kingdom  army composed  cavalry  infantry  son louis later disbanded  infantry  began  employ swiss soldiers  blunder  followed   others led   indeed now obvious   present dangerous position   kingdom  strengthening  position   swiss  demoralised  rest   army   disbanded  infantry  made   cavalry dependent  foreign soldiers since   used  fighting together  
Mach_101.txt, swiss    confident   able  win battles without   outcome    french  inferior   swiss  without  swiss  make  poor showing  enemies  french armies      mixed character partly mercenary  partly national   combination  much better   army  auxiliaries   army  mercenaries  much inferior  native troops  let  example suffice   kingdom  france   unconquerable   military system set   charles   developed   least preserved  men   little judgement  foresight   initiate policies  seem attractive without noticing  poison   concealed   said earlier  referring  consumptive fevers  therefore  ruler    recognise evils    early stages   considered wise  ability  given       beginning   decline   roman empire  sought  will  found   began    goths started   used  mercenaries   policy began  sap  strength   roman 
Mach_102.txt,empire    vigour   drained    received   goths   conclude    principality       army   secure rather  must rely completely  luck   favour  others   lacks  strength  defend    difficult times  wise men  always thought  held quod nihil sit tam infirmum aut instabile quam fama potentiae non sua vi nixa  ones  forces   composed  subjects  citizens   ones dependents   others  either mercenaries  auxiliaries  right way  organise ones forces will  easily grasped   methods used   four men   cited   examined     understood  philip father  alexander  great  many  republics  rulers  armed  organised  states   complete faith   methods 
Mach_103.txt, xiv   ruler  act concerning military matters   ruler      objective    concern  occupy   anything else except war   methods  practices   pertains     rule      efficacy     maintains hereditary rulers  power   often enables men  private status  become rulers    hand   evident   rulers concern     refinements  life   military matters  lose power  main reason   lose    neglect   art  war   proficient   art   enables one  gain power   francesco sforza  armed    private citizen  became duke  milan since  descendants   trouble   military matters   dukes  became private 
Mach_104.txt,citizens   unarmed apart   bad consequences results    despised   one   disgraceful things    ruler must always guard   will  explained later    enormous difference   armed   unarmed man     expected   man   armed  will obey willingly  man   unarmed    unarmed man can  safe among armed servants since  latter will  contemptuous   former suspicious  afraid  will   able  work well together  therefore apart    disadvantages already mentioned  ruler    understand military matters   highly regarded   soldiers    trust    ruler  therefore always  concerned  military matters   peacetime    even  taken      
Mach_105.txt,war   two ways    one   going  exercises     study   regard  exercises besides keeping  troops well disciplined  trained    frequently engage  hunting thus hardening  body     time becoming familiar   terrain  mountains rise  valleys open   plains spread   well    characteristics  rivers  swamps   concern   much    matters   practical knowledge  valuable  two ways first one learns well  terrain  ones  country  understands better  natural defences secondly  knowing  exercising   countryside one easily grasps  characteristics   new terrain  must  explored   hills valleys plains rivers  swamps   found intuscany  instance   many respects similar   found   regions thus knowing well  terrain  one region readily permits one  become familiar     regions  ruler  lacks  expertise lacks  elements  generalship   enables one  track   enemy  encamp ones army properly  lead  army towards  enemy  prepare  battle  besiege fortresses  fortified towns  ways  conduce  victory 
Mach_106.txt, one   reasons  historians  praised philopoemen  leader   achaean league    peacetime   always thinking  military matters       countryside  companions  often stopped  asked questions   enemy happened      hill       army    better placed    attack   still preserving proper military formation     able  retreat   retreated    pursue    travelled  used  put     situations    army might  placed  used  listen   opinions  give   supportingthem  reasons    continual discussions    leading  armies   able  overcome  difficulties    mental exercise  ruler  read historical works 
Mach_107.txt,especially   light  shed   actions  eminent men  find    waged war  discover  reasons   victories  defeats  order  avoid reverses  achieve conquests     imitate  eminent man   set   imitate  predecessor     considered worthy  praise  glory always taking  deeds  actions   model      said  alexander  great imitated achilles caesar imitated alexander  scipio imitated cyrus  anyone  reads  life  cyrus written  xenophon will realise   considers scipios life  career  greatly scipios imitation  cyrus helped   attain glory   much scipios sexual restraint affability humanity  generosity derived   imitating  qualities  cyrus  recorded   work  xenophon  wise ruler  act   ways  never remain idle  quiet times  assiduously strengthen  position   activities  order   adversity  will benefit   thus   situation worsens  will  well equipped  overcome dangers   flourish 
